94.28.154.202 - - [08/Oct/2021:02:38:11 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
94.28.154.202 - - [08/Oct/2021:02:38:12 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
94.28.154.202 - - [08/Oct/2021:02:38:15 +0300] "GET / HTTP/1.0" 301 178 "https://geckonhd.net/" "Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
91.132.58.50 - - [08/Oct/2021:02:42:03 +0300] "GET ///remote/fgt_lang?lang=/../../../..//////////dev/ HTTP/1.1" 301 178 "-" "python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-1160.36.2.el7.x86_64"
91.132.58.50 - - [08/Oct/2021:02:42:04 +0300] "GET ///remote/fgt_lang?lang=/../../../..//////////dev/ HTTP/1.1" 404 1270 "-" "python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-1160.36.2.el7.x86_64"
128.90.161.152 - - [08/Oct/2021:02:44:16 +0300] "GET / HTTP/1.1" 400 264 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
128.90.161.152 - - [08/Oct/2021:02:44:16 +0300] "GET /cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd HTTP/1.1" 400 166 "-" "-"
128.90.161.152 - - [08/Oct/2021:02:44:16 +0300] "GET / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
128.90.161.152 - - [08/Oct/2021:02:44:16 +0300] "GET / HTTP/1.1" 200 20537 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
128.90.161.152 - - [08/Oct/2021:02:44:17 +0300] "GET /cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd HTTP/1.1" 400 166 "-" "-"
117.222.166.143 - - [08/Oct/2021:02:56:40 +0300] "POST /HNAP1/ HTTP/1.0" 301 178 "-" "-"
39.149.80.122 - - [08/Oct/2021:03:13:37 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4427.0 Safari/537.36"
39.149.80.122 - - [08/Oct/2021:03:13:38 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4427.0 Safari/537.36"
39.149.80.122 - - [08/Oct/2021:03:13:39 +0300] "GET / HTTP/1.0" 301 178 "https://geckonhd.net/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4427.0 Safari/537.36"
39.149.80.122 - - [08/Oct/2021:03:13:40 +0300] "GET / HTTP/1.0" 200 114889 "https://licey.stop.cash/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4427.0 Safari/537.36"
146.70.52.69 - - [08/Oct/2021:03:14:41 +0300] "GET / HTTP/1.0" 301 178 "http://geckonhd.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36 Edg/90.0.818.42"
125.40.121.204 - - [08/Oct/2021:03:14:41 +0300] "GET /boaform/admin/formLogin?username=user&psd=user HTTP/1.0" 301 178 "-" "-"
146.70.52.69 - - [08/Oct/2021:03:14:42 +0300] "GET / HTTP/1.0" 200 114889 "https://licey.stop.cash/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36 Edg/90.0.818.42"
192.99.15.29 - - [08/Oct/2021:03:25:50 +0300] "GET /robots.txt HTTP/1.1" 301 178 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
192.99.15.29 - - [08/Oct/2021:03:26:08 +0300] "GET /robots.txt HTTP/1.1" 404 5271 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
192.99.15.29 - - [08/Oct/2021:03:27:00 +0300] "GET /index.php?forums/feedback-vorschl%C3%A4ge-ideen.11/ HTTP/1.1" 301 178 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
192.99.15.29 - - [08/Oct/2021:03:27:26 +0300] "GET /index.php?forums/feedback-vorschl%C3%A4ge-ideen.11/ HTTP/1.1" 404 1285 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
164.90.239.157 - - [08/Oct/2021:03:29:35 +0300] "GET / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) Project-Resonance (http://project-resonance.com/) (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
199.195.253.71 - - [08/Oct/2021:04:01:06 +0300] "POST /boaform/admin/formLogin HTTP/1.1" 301 178 "http://94.130.163.7:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0"
199.195.253.71 - - [08/Oct/2021:04:01:06 +0300] "" 400 0 "-" "-"
161.35.148.153 - - [08/Oct/2021:04:07:19 +0300] "POST /GponForm/diag_Form?style/ HTTP/1.1" 301 178 "-" "curl/7.3.2"
45.229.54.31 - - [08/Oct/2021:04:08:42 +0300] "POST /HNAP1/ HTTP/1.0" 301 178 "-" "-"
192.241.208.180 - - [08/Oct/2021:04:21:17 +0300] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 301 178 "-" "Mozilla/5.0 zgrab/0.x"
